Epoch 0: MSE Loss = tensor([0.0400], grad_fn=<DivBackward0>)
Epoch 1: MSE Loss = tensor([0.0400], grad_fn=<DivBackward0>)
Epoch 2: MSE Loss = tensor([0.0400], grad_fn=<DivBackward0>)
Epoch 3: MSE Loss = tensor([0.0400], grad_fn=<DivBackward0>)
Epoch 4: MSE Loss = tensor([0.0399], grad_fn=<DivBackward0>)
Epoch 5: MSE Loss = tensor([0.0399], grad_fn=<DivBackward0>)
Epoch 6: MSE Loss = tensor([0.0399], grad_fn=<DivBackward0>)
Epoch 7: MSE Loss = tensor([0.0399], grad_fn=<DivBackward0>)
Epoch 8: MSE Loss = tensor([0.0399], grad_fn=<DivBackward0>)
Epoch 9: MSE Loss = tensor([0.0398], grad_fn=<DivBackward0>)
Epoch 10: MSE Loss = tensor([0.0398], grad_fn=<DivBackward0>)
Epoch 11: MSE Loss = tensor([0.0398], grad_fn=<DivBackward0>)
Epoch 12: MSE Loss = tensor([0.0398], grad_fn=<DivBackward0>)
Epoch 13: MSE Loss = tensor([0.0397], grad_fn=<DivBackward0>)
Epoch 14: MSE Loss = tensor([0.0397], grad_fn=<DivBackward0>)
Epoch 15: MSE Loss = tensor([0.0397], grad_fn=<DivBackward0>)
Epoch 16: MSE Loss = tensor([0.0396], grad_fn=<DivBackward0>)
Epoch 17: MSE Loss = tensor([0.0396], grad_fn=<DivBackward0>)
Epoch 18: MSE Loss = tensor([0.0396], grad_fn=<DivBackward0>)
Epoch 19: MSE Loss = tensor([0.0395], grad_fn=<DivBackward0>)
Epoch 20: MSE Loss = tensor([0.0395], grad_fn=<DivBackward0>)
Epoch 21: MSE Loss = tensor([0.0395], grad_fn=<DivBackward0>)
Epoch 22: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 23: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 24: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 25: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 26: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 27: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 28: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 29: MSE Loss = tensor([0.0394], grad_fn=<DivBackward0>)
Epoch 30: MSE Loss = tensor([0.0393], grad_fn=<DivBackward0>)
Epoch 31: MSE Loss = tensor([0.0393], grad_fn=<DivBackward0>)
Epoch 32: MSE Loss = tensor([0.0393], grad_fn=<DivBackward0>)
Epoch 33: MSE Loss = tensor([0.0393], grad_fn=<DivBackward0>)
Epoch 34: MSE Loss = tensor([0.0393], grad_fn=<DivBackward0>)
Epoch 35: MSE Loss = tensor([0.0392], grad_fn=<DivBackward0>)
Epoch 36: MSE Loss = tensor([0.0392], grad_fn=<DivBackward0>)
Epoch 37: MSE Loss = tensor([0.0391], grad_fn=<DivBackward0>)
Epoch 38: MSE Loss = tensor([0.0390], grad_fn=<DivBackward0>)
Epoch 39: MSE Loss = tensor([0.0387], grad_fn=<DivBackward0>)
Epoch 40: MSE Loss = tensor([0.0380], grad_fn=<DivBackward0>)
Epoch 41: MSE Loss = tensor([0.0367], grad_fn=<DivBackward0>)
Epoch 42: MSE Loss = tensor([0.0345], grad_fn=<DivBackward0>)
Epoch 43: MSE Loss = tensor([0.0314], grad_fn=<DivBackward0>)
Epoch 44: MSE Loss = tensor([0.0280], grad_fn=<DivBackward0>)
Epoch 45: MSE Loss = tensor([0.0276], grad_fn=<DivBackward0>)
Epoch 46: MSE Loss = tensor([0.0313], grad_fn=<DivBackward0>)
Epoch 47: MSE Loss = tensor([0.0294], grad_fn=<DivBackward0>)
