Complexity,Loss,Equation
1,0.14612462,"-0.0081171"
2,0.119338125,"sin(x1)"
3,0.021627605,"x1 * 8.742466"
5,0.02079244,"(8.860194 - x2) * x1"
6,0.020069102,"cos(x2) * (x1 * 9.326196)"
7,0.011881543,"(x1 * 7.9235907) + (x2 + x0)"
8,0.0114721,"x0 + sin(x2 + (x1 * 8.739329))"
9,0.010616011,"sin(x0) + sin(x2 + (x1 * 8.825986))"
10,0.009986041,"sin(x2 + (x1 * 8.904717)) + sin(sin(x0))"
11,0.009532384,"sin(sin(sin(x0))) + sin(x2 + (x1 * 8.976179))"
12,0.008917526,"(exp(2.191318 - (x2 * x2)) * x1) + (x2 + x0)"
13,0.008170746,"x2 + (x0 + ((((x2 * 14.069284) * x0) - -9.375705) * x1))"
14,0.0075701606,"x2 + (x0 + (exp((x2 * (-0.36513683 - x2)) - -2.2224624) * x1))"
15,0.007422347,"x2 + ((exp(((-0.36407867 - x2) * x2) - -2.2231898) * x1) + sin(x0))"
16,0.007147238,"x0 + (x2 + (x1 * exp((((x1 - x0) * -2.446562) * x2) - -2.3092296)))"
17,0.0070273215,"(x0 + x2) + (x1 * exp(((cos(-1.4148178 - x0) * x2) * -2.2645) - -2.3024395))"
18,0.006315605,"(x2 + (x1 * exp((((x1 - x0) * -3.6037326) * (x1 - x0)) - -2.4190059))) + x0"
20,0.00573687,"(x2 + (x1 * exp(((x1 - x0) * ((-3.6286573 - x2) * (x1 - x0))) - -2.400925))) + x0"
