Complexity,Loss,Equation
1,0.11932421,"x1"
2,0.021627603,"x1 * 8.74225"
4,0.02079244,"x1 * (8.860061 - x2)"
5,0.018135801,"(x1 * 8.746764) + (x2 * 0.15876642)"
6,0.011881543,"(x0 + x2) + (x1 * 7.923581)"
7,0.011786113,"((x0 + x2) * 0.91034704) + (x1 * 7.997115)"
8,0.010817129,"(x1 * (8.041478 - x2)) + (x2 + x0)"
9,0.0096501205,"(x2 + x0) + (((x2 * -3.6124964) - -8.348646) * x1)"
10,0.00797191,"x0 + ((x1 * ((x2 * (x0 * 18.147179)) - -9.7584305)) + x2)"
11,0.004213427,"x2 + ((x1 - (x0 * -0.15435378)) * ((x0 * (x0 * -19.327444)) - -10.148343))"
12,0.003618627,"((((x0 * x0) * -22.366005) - -10.525103) * (x1 + (x0 * 0.1286146))) + (x2 * 0.8104977)"
13,0.0036184979,"(((x0 * 0.12876357) + (x1 * 1.002118)) * (((x0 * x0) * -22.369793) - -10.509656)) + (x2 * 0.8096266)"
14,0.002755296,"(((x1 + (x0 * 0.2079045)) * (((x0 * x0) * -21.530659) - -11.009811)) - (x2 * -0.5377036)) - x0"
15,0.0014101206,"(((((x0 * (-0.95675504 * x0)) - -1.3838897) * (x1 + (x0 * 0.83917975))) + (x2 * 0.039832495)) - x0) * 7.36443"
17,0.0013986599,"((((x0 * 0.836615) + x1) * (((x0 * x0) * -0.94676304) - -1.3895918)) + ((x2 * 0.042603303) - x0)) * (7.304772 - x1)"
18,0.0012221341,"((((((x0 * (-1.5395075 * x0)) - -1.8954087) * (x1 + (0.64934677 * x0))) + (x2 * 0.07529926)) - x0) * 5.398009) - (x1 * x2)"
19,0.0011779274,"((((x2 * 0.040237077) - x0) + (((x0 * 0.8332327) + x1) * (((x0 * -0.9655503) * x0) - -1.3988173))) * 7.3122735) - ((x0 * -0.13910578) * x0)"
